Sr. No/ID,Colony,Phasees,Block,Zone,Size in Marla,Side,Park Facing,Market Facing,Near Mosque,Near School,Electricity,Natural Gas,WASA,Pricees
1,Alfalah Modern City,1,1,1,5,0,0,0,0,0,1,1,1,25
2,Alfalah Modern City,1,1,1,5,0,1,0,0,0,1,1,1,25
3,Alfalah Modern City,1,1,2,5,0,1,1,0,0,1,1,1,27.5
4,Alfalah Modern City,1,1,2,5,0,1,1,1,0,1,1,1,27.5
5,Alfalah Modern City,1,1,1,5,1,0,0,0,0,1,1,1,25
6,Alfalah Modern City,1,1,1,5,1,1,0,0,0,1,1,1,25
7,Alfalah Modern City,1,1,2,5,1,1,1,0,0,1,1,1,27.5
8,Alfalah Modern City,1,1,2,5,1,1,1,1,0,1,1,1,27.5
9,Alfalah Modern City,1,1,1,7,0,0,0,0,0,1,1,1,28
10,Alfalah Modern City,1,1,1,7,0,1,0,0,0,1,1,1,28
11,Alfalah Modern City,1,1,2,7,0,1,1,0,0,1,1,1,30
12,Alfalah Modern City,1,1,2,7,0,1,1,1,0,1,1,1,30
13,Alfalah Modern City,1,1,1,7,1,0,0,0,0,1,1,1,28
14,Alfalah Modern City,1,1,1,7,1,1,0,0,0,1,1,1,28
15,Alfalah Modern City,1,1,2,7,1,1,1,0,0,1,1,1,30
16,Alfalah Modern City,1,1,2,7,1,1,1,1,0,1,1,1,30
17,Alfalah Modern City,1,1,1,10,0,0,0,0,0,1,1,1,30
18,Alfalah Modern City,1,1,1,10,0,1,0,0,0,1,1,1,30
19,Alfalah Modern City,1,1,2,10,0,1,1,0,0,1,1,1,30
20,Alfalah Modern City,1,1,2,10,0,1,1,1,0,1,1,1,30
21,Alfalah Modern City,1,1,1,10,1,0,0,0,0,1,1,1,30
22,Alfalah Modern City,1,1,1,10,1,1,0,0,0,1,1,1,30
23,Alfalah Modern City,1,1,2,10,1,1,1,0,0,1,1,1,30
24,Alfalah Modern City,1,1,2,10,1,1,1,1,0,1,1,1,30
25,Alfalah Modern City,1,1,1,20,0,0,0,0,0,1,1,1,50
26,Alfalah Modern City,1,1,1,20,1,0,0,0,0,1,1,1,50
27,Alfalah Modern City,1,1,2,20,0,1,1,0,0,1,1,1,50
28,Alfalah Modern City,1,1,2,20,1,1,1,0,0,1,1,1,50
29,Alfalah Modern City,1,1,1,40,0,0,0,0,0,1,1,1,80
30,Alfalah Modern City,1,1,1,40,1,0,0,0,0,1,1,1,80
31,Alfalah Modern City,1,1,2,40,0,1,1,1,0,1,1,1,80
32,Alfalah Modern City,1,1,2,40,1,1,1,1,0,1,1,1,80
33,Dar ul Salaam,1,1,1,20,0,0,0,0,0,1,0,1,52
34,Dar ul Salaam,1,1,1,20,1,0,0,0,0,1,0,1,54
35,Dar ul Salaam,1,1,1,15,0,0,0,0,0,1,0,1,39.75
36,Dar ul Salaam,1,1,1,15,1,1,0,1,0,1,0,1,41.25
37,Dar ul Salaam,1,1,1,13,0,1,0,1,0,1,0,1,34.45
38,Dar ul Salaam,1,1,1,13,1,1,0,1,0,1,0,1,35.75
39,Dar ul Salaam,1,1,1,12,0,1,0,1,0,1,0,1,31.8
40,Dar ul Salaam,1,1,1,12,1,0,0,0,0,1,0,1,33
41,Dar ul Salaam,1,1,1,11,0,0,0,0,0,1,0,1,29.15
42,Dar ul Salaam,1,1,1,11,1,1,0,1,0,1,0,1,30.25
43,Dar ul Salaam,1,1,1,10,0,1,0,1,0,1,0,1,27
44,Dar ul Salaam,1,1,1,10,1,1,0,0,1,1,0,1,28
45,Dar ul Salaam,1,1,1,8,0,1,0,0,1,1,0,1,22.4
46,Dar ul Salaam,1,1,1,8,1,0,0,0,1,1,0,1,23.2
47,Dar ul Salaam,1,1,1,6,0,0,0,0,1,1,0,1,17.4
48,Dar ul Salaam,1,1,1,6,1,0,0,0,0,1,0,1,18
49,Dar ul Salaam,1,1,1,5,0,0,0,0,0,1,0,1,15
50,Dar ul Salaam,1,1,1,5,1,0,0,0,0,1,0,1,16.25
51,Dream Garden,1,1,1,5,0,0,0,0,0,1,1,1,30
52,Dream Garden,1,1,1,5,1,0,0,0,0,1,1,1,40
53,Dream Garden,1,1,1,5,0,1,0,0,0,1,1,1,30
54,Dream Garden,1,1,1,5,0,1,0,1,0,1,1,1,30
55,Dream Garden,1,1,1,8,0,0,0,0,0,1,1,1,50
56,Dream Garden,1,1,1,8,1,0,0,0,0,1,1,1,60
57,Dream Garden,1,1,1,8,0,1,0,0,0,1,1,1,50
58,Dream Garden,1,1,1,8,0,1,0,1,0,1,1,1,50
59,Dream Garden,1,1,1,10,0,0,0,0,0,1,1,1,55
60,Dream Garden,1,1,1,10,1,0,0,0,0,1,1,1,65
61,Dream Garden,1,1,1,10,0,1,0,0,0,1,1,1,55
62,Dream Garden,1,1,1,10,0,1,0,1,0,1,1,1,55
63,Dream Garden,1,1,1,15,0,0,0,0,0,1,1,1,80
64,Dream Garden,1,1,1,15,1,0,0,0,0,1,1,1,90
65,Dream Garden,1,1,1,15,0,1,0,0,0,1,1,1,80
66,Dream Garden,1,1,1,15,0,1,0,1,0,1,1,1,80
67,Dream Garden,1,1,2,10,0,0,0,0,0,1,1,1,90
68,Dream Garden,1,1,2,10,1,0,0,0,0,1,1,1,100
69,Dream Garden,1,1,2,10,0,1,0,0,0,1,1,1,90
70,Dream Garden,1,1,2,10,0,1,0,1,0,1,1,1,90
71,Dream Garden,1,2,1,5,0,0,0,0,0,1,1,1,22
72,Dream Garden,1,2,1,5,1,0,0,0,0,1,1,1,28
73,Dream Garden,1,2,1,5,0,1,0,0,0,1,1,1,22
74,Dream Garden,1,2,1,5,0,1,0,1,0,1,1,1,22
75,Dream Garden,1,2,1,8,0,0,0,0,0,1,1,1,35.9
76,Dream Garden,1,2,1,8,1,0,0,0,0,1,1,1,45
77,Dream Garden,1,2,1,8,0,1,0,0,0,1,1,1,35.9
78,Dream Garden,1,2,1,8,0,1,0,1,0,1,1,1,35.9
79,Dream Garden,1,3,1,10,0,0,0,0,0,1,1,1,50
80,Dream Garden,1,3,1,10,1,0,0,0,0,1,1,1,60
81,Dream Garden,1,3,1,10,0,1,0,0,0,1,1,1,50
82,Dream Garden,1,3,1,10,0,1,0,1,0,1,1,1,50
83,Dream Garden,1,4,1,10,0,0,0,0,0,1,1,1,44
84,Dream Garden,1,4,1,10,1,0,0,0,0,1,1,1,54
85,Dream Garden,1,4,1,10,0,1,0,0,0,1,1,1,44
86,Dream Garden,1,4,1,10,0,1,0,1,0,1,1,1,44
87,Dream Garden,1,5,1,20,0,0,0,0,0,1,1,1,86
88,Dream Garden,1,5,1,20,1,0,0,0,0,1,1,1,90
